[description:"Call by need, value and name" due:"1606086000" entry:"1605926450" modified:"1605975649" project:"thesis" status:"pending" uuid:"1e50e153-ac1f-44fe-ba5e-6318c40cdcb8"]
[description:"Parsing" due:"1606086000" entry:"1605926505" modified:"1605973852" project:"thesis" status:"pending" uuid:"2167a00e-0a38-477c-9ba8-7019658eece2"]
[description:"Typing" due:"1606086000" entry:"1605926512" modified:"1605973852" project:"thesis" status:"pending" uuid:"50d1eefc-f4bd-4d4f-849c-a2a31598c944"]
[description:"Algebraic data type" due:"1606086000" entry:"1605975588" modified:"1605975526" project:"thesis" status:"pending" tags:"next" uuid:"5fa270f1-5d87-4c1e-9380-01793cdbcea5"]
